  PID TTY          TIME CMD
 7374 ?        00:00:00 prodigy
 7376 ?        00:03:07 python
 7382 ?        00:00:00 prodigy
 7383 ?        00:03:03 python
11147 ?        00:00:00 systemd
11148 ?        00:00:00 (sd-pam)
13094 ?        00:00:00 sshd
13096 ?        00:00:00 sftp-server
16548 ?        00:00:00 prodigy
16550 ?        00:01:51 python
16554 ?        00:00:00 prodigy
16556 ?        00:01:48 python
16591 ?        00:00:00 prodigy
16592 ?        00:01:50 python
17753 ?        00:00:00 sshd
17754 pts/3    00:00:00 bash
18078 pts/3    00:00:02 python
18116 pts/3    00:00:00 sh
18117 pts/3    00:00:00 ps
24745 ?        00:00:00 prodigy
24746 ?        00:04:21 python
