eagaev - NO ANNOTATION
raulaliyev - NO ANNOTATION
caltinuzengi - 0.6145726557393024 - 141
emirasal - 0.46585241417366097 - 141
tolgaaydin - 0.5792781708189038 - 138
sananbabayev - 0.28245759935371106 - 137
burakbatman - 0.5166058447181611 - 142
tahabayindir - 0.5930728784651288 - 142
ozgurbeker - 0.6530983892497605 - 139
mustafacem - 0.5101872556583029 - 141
ramonberke - 0.6144117308187803 - 139
mehmetcandar - 0.515236414345138 - 140
alikoray - 0.5345795921377987 - 140
alpercakar - 0.5705817471123242 - 144
colakulas - 0.6850116047613437 - 128
fethidenker - 0.5259587871976662 - 143
dogru - 0.5610707228227829 - 142
orkhan - 0.5106908400717513 - 137
idilkale - 0.6115768245228658 - 143
gkantar - 0.4491997846948056 - 138
kkaan - 0.5004392933754825 - 138
karakoc - 0.5708332905154261 - 138
zubeyir - 0.6454739899719057 - 136
omersurhay - 0.4732726086637653 - 139
omerkuyucu - 0.5973960815018491 - 142
goktugmandaci - 0.6024374094327984 - 141
msamil - 0.6174110605998133 - 141
umutonder - 0.45676542090713235 - 145
rebahozkoc - 0.5925846453980672 - 135
alisinal - 0.5466300031152937 - 138
suedaseker - 0.6501350191282849 - 147
onatt - 0.599554580643009 - 136
oteryaki - 0.5172311418618246 - 141
alperenyildiz - 0.539235330322338 - 144
