(('1332644153969291265_4', 'idilkale', 'dogru'), 0.7924528301886793)
(('1310835653538709505_23', 'idilkale', 'alpercakar'), 1.0)
(('1333463301519499265_41', 'idilkale', 'tahabayindir'), 0.42105263157894735)
(('1332710321727938561_55', 'idilkale', 'burakbatman'), 0.6206896551724137)
(('1331880370808172545_76', 'idilkale', 'omerkuyucu'), 0.38888888888888895)
(('1330763050006286338_92', 'idilkale', 'alikoray'), 1.0)
(('1329785316127907842_107', 'idilkale', 'orkhan'), 0.2325581395348837)
(('1329310520407625730_121', 'idilkale', 'alpercakar'), 0.42105263157894735)
(('1327275025548840961_144', 'idilkale', 'suedaseker'), 1.0)
(('1326595766060802048_162', 'idilkale', 'goktugmandaci'), 0.6206896551724137)
(('1325431628651433984_182', 'idilkale', 'omerkuyucu'), -0.10000000000000009)
(('1324366758699016193_206', 'idilkale', 'oteryaki'), 0.0)
(('1322989285214138368_223', 'idilkale', 'colakulas'), 0.7441860465116279)
(('1321816558113497090_240', 'idilkale', 'tolgaaydin'), 0.7441860465116279)
(('1321139800368435204_264', 'idilkale', 'burakbatman'), 1.0)
(('1320721844693995520_273', 'idilkale', 'alperenyildiz'), 1.0)
(('1319282359754252288_306', 'idilkale', 'orkhan'), 0.38888888888888895)
(('1318505993840529408_319', 'idilkale', 'gkantar'), 0.6206896551724137)
(('1317035052652498944_339', 'idilkale', 'umutonder'), 0.0)
(('1316321600401276931_353', 'idilkale', 'sananbabayev'), 0.56)
(('1314872922130001922_372', 'idilkale', 'alperenyildiz'), 1.0)
(('1314596429244125185_375', 'idilkale', 'ramonberke'), 1.0)
(('1313425014109077507_398', 'idilkale', 'rebahozkoc'), 0.38888888888888895)
(('1311727808247406592_422', 'idilkale', 'zubeyir'), 0.7924528301886793)
(('1311263257492062208_431', 'idilkale', 'orkhan'), 1.0)
(('1332959984942870530_473', 'idilkale', 'onatt'), 0.6206896551724137)
(('1331852688498319362_491', 'idilkale', 'goktugmandaci'), 1.0)
(('1331490300682858496_494', 'idilkale', 'onatt'), 1.0)
(('1327340663055278082_518', 'idilkale', 'umutonder'), 0.6206896551724137)
(('1320409790665920512_539', 'idilkale', 'gkantar'), 0.6206896551724137)
(('1309987850985889793_559', 'idilkale', 'mehmetcandar'), -0.10000000000000009)
(('1334069724938989571_566', 'idilkale', 'tolgaaydin'), 0.6206896551724137)
(('1332362900728668167_591', 'idilkale', 'suedaseker'), 1.0)
(('1331935736145223682_600', 'idilkale', 'zubeyir'), 1.0)
(('1330583120471527426_617', 'idilkale', 'oteryaki'), 1.0)
(('1329414120270159873_638', 'idilkale', 'kkaan'), 1.0)
(('1328317340702928903_655', 'idilkale', 'burakbatman'), 1.0)
(('1327313047904514048_671', 'idilkale', 'kkaan'), 0.6206896551724137)
(('1326586569399087111_686', 'idilkale', 'fethidenker'), 0.38888888888888895)
(('1325515934115778562_705', 'idilkale', 'onatt'), -0.10000000000000009)
(('1322989285214138368_723', 'idilkale', 'gkantar'), 1.0)
(('1320855475231940608_734', 'idilkale', 'oteryaki'), 1.0)
(('1319615806834180096_752', 'idilkale', 'alpercakar'), 1.0)
(('1316652722767171584_782', 'idilkale', 'alpercakar'), 1.0)
(('1315210529028399105_795', 'idilkale', 'karakoc'), 1.0)
(('1314208929891512322_803', 'idilkale', 'umutonder'), 1.0)
(('1311635220211347462_826', 'idilkale', 'msamil'), 1.0)
(('1310167703953473543_842', 'idilkale', 'onatt'), -0.13793103448275867)
(('1309487820730298368_854', 'idilkale', 'onatt'), 1.0)
(('1326806941071335424_898', 'idilkale', 'colakulas'), 1.0)
(('1326247001613246467_903', 'idilkale', 'mustafacem'), 1.0)
(('1319980711357591552_919', 'idilkale', 'oteryaki'), 0.6206896551724137)
(('1314454839959617536_942', 'idilkale', 'umutonder'), 0.6206896551724137)
(('1310558127872507904_954', 'idilkale', 'ramonberke'), 1.0)
(('1334064473204723712_2275', 'idilkale', 'mustafacem'), 1.0)
(('1333406678256136193_2294', 'idilkale', 'rebahozkoc'), 1.0)
(('1332322031191244800_2317', 'idilkale', 'alperenyildiz'), 0.6206896551724137)
(('1331490300682858496_2333', 'idilkale', 'suedaseker'), -0.10000000000000009)
(('1331137980384219137_2343', 'idilkale', 'suedaseker'), -0.10000000000000009)
(('1330221092053585925_2365', 'idilkale', 'dogru'), 0.6206896551724137)
(('1329899822153756672_2379', 'idilkale', 'dogru'), 0.42105263157894735)
(('1329397762585083906_2394', 'idilkale', 'onatt'), -0.13793103448275867)
(('1329134232594243588_2411', 'idilkale', 'caltinuzengi'), 1.0)
(('1328753179115319298_2439', 'idilkale', 'gkantar'), 0.0)
(('1327609730903146498_2460', 'idilkale', 'omersurhay'), 0.6206896551724137)
(('1327568207310413824_2463', 'idilkale', 'fethidenker'), 1.0)
(('1325810366908084224_2492', 'idilkale', 'fethidenker'), 1.0)
(('1325380038640889856_2500', 'idilkale', 'alisinal'), 1.0)
(('1324427395605143552_2514', 'idilkale', 'sananbabayev'), 0.42105263157894735)
(('1322839548699705344_2537', 'idilkale', 'tahabayindir'), 0.0)
(('1321751126971158534_2555', 'idilkale', 'msamil'), 1.0)
(('1321341763311849474_2571', 'idilkale', 'umutonder'), 1.0)
(('1320485288708239361_2594', 'idilkale', 'alpercakar'), 0.6206896551724137)
(('1319633422994661376_2607', 'idilkale', 'colakulas'), 1.0)
(('1318483716537257991_2645', 'idilkale', 'msamil'), 1.0)
(('1317908305558339587_2656', 'idilkale', 'alperenyildiz'), 0.6206896551724137)
(('1317068350309228549_2672', 'idilkale', 'umutonder'), -0.10000000000000009)
(('1315603116000268289_2703', 'idilkale', 'goktugmandaci'), 1.0)
(('1314596429244125185_2727', 'idilkale', 'colakulas'), 1.0)
(('1313026022745481221_2750', 'idilkale', 'kkaan'), 0.6206896551724137)
(('1312346659989286912_2758', 'idilkale', 'zubeyir'), 1.0)
(('1311727808247406592_2775', 'idilkale', 'rebahozkoc'), 0.0)
(('1310919649303896064_2800', 'idilkale', 'ozgurbeker'), 0.0)
(('1310847015094571009_2806', 'idilkale', 'colakulas'), 1.0)
(('1310547447798796289_2819', 'idilkale', 'alisinal'), 0.0)
(('1309419621406003200_2849', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1309129104285990930_2856', 'idilkale', 'caltinuzengi'), 0.6206896551724137)
(('1334064473204723712_2881', 'idilkale', 'fethidenker'), 0.6206896551724137)
(('1333732631343722503_2896', 'idilkale', 'omerkuyucu'), 0.38888888888888895)
(('1333668402888536065_2907', 'idilkale', 'rebahozkoc'), 0.7441860465116279)
(('1333347538607419393_2922', 'idilkale', 'alisinal'), 0.0)
(('1332959984942870530_2943', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1332254083340787715_2975', 'idilkale', 'burakbatman'), 0.6206896551724137)
(('1331631229377130497_3005', 'idilkale', 'omersurhay'), 1.0)
(('1331519241363681289_3016', 'idilkale', 'tolgaaydin'), 0.0)
(('1331001580406140931_3035', 'idilkale', 'dogru'), 1.0)
(('1330764508160274436_3041', 'idilkale', 'alikoray'), 1.0)
(('1329846974632271873_3076', 'idilkale', 'omersurhay'), 0.38888888888888895)
(('1329365047450198017_3103', 'idilkale', 'emirasal'), 1.0)
(('1330059623743823873_3067', 'idilkale', 'emirasal'), 1.0)
(('1329144846628519938_3114', 'idilkale', 'goktugmandaci'), 0.7441860465116279)
(('1328708312326606849_3127', 'idilkale', 'karakoc'), 0.0)
(('1328320246458036230_3143', 'idilkale', 'gkantar'), 1.0)
(('1327568207310413824_3171', 'idilkale', 'colakulas'), 1.0)
(('1327179395031855105_3188', 'idilkale', 'tahabayindir'), 0.6206896551724137)
(('1326905087524921344_3202', 'idilkale', 'ramonberke'), 0.42105263157894735)
(('1326645882704388096_3213', 'idilkale', 'dogru'), 0.6206896551724137)
(('1326421904018841601_3232', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1325916070759202817_3249', 'idilkale', 'alisinal'), 0.6206896551724137)
(('1325541100078067713_3266', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1324796193503809538_3290', 'idilkale', 'orkhan'), -0.10000000000000009)
(('1324388088743895040_3303', 'idilkale', 'ramonberke'), 0.6206896551724137)
(('1323592007068114945_3316', 'idilkale', 'alikoray'), 0.6206896551724137)
(('1322575772595486721_3342', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1322143713909481479_3346', 'idilkale', 'dogru'), 0.7441860465116279)
(('1321523142217605120_3370', 'idilkale', 'gkantar'), 1.0)
(('1321189929116811264_3388', 'idilkale', 'tolgaaydin'), 1.0)
(('1321049000372359169_3401', 'idilkale', 'ozgurbeker'), 0.6206896551724137)
(('1320399722197192707_3427', 'idilkale', 'ramonberke'), 0.38888888888888895)
(('1319901438953332736_3445', 'idilkale', 'emirasal'), 0.6206896551724137)
(('1319620839990530048_3455', 'idilkale', 'mustafacem'), 0.38888888888888895)
(('1319199312182611968_3472', 'idilkale', 'alpercakar'), 1.0)
(('1318811758610481163_3496', 'idilkale', 'dogru'), 0.6206896551724137)
(('1318235469524643840_3514', 'idilkale', 'zubeyir'), 0.6206896551724137)
(('1317396180989485058_3548', 'idilkale', 'gkantar'), 0.0)
(('1317152072828157953_3556', 'idilkale', 'sananbabayev'), 0.42105263157894735)
(('1316818625597243396_3580', 'idilkale', 'dogru'), -0.10000000000000009)
(('1316730545351532544_3584', 'idilkale', 'oteryaki'), 1.0)
(('1315788844386656258_3614', 'idilkale', 'caltinuzengi'), 0.7441860465116279)
(('1315645098923888640_3620', 'idilkale', 'goktugmandaci'), -0.2222222222222221)
(('1314538342843809794_3645', 'idilkale', 'caltinuzengi'), 1.0)
(('1313927072130056192_3668', 'idilkale', 'alpercakar'), 0.6206896551724137)
(('1313788661151010817_3680', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1313184680561213446_3698', 'idilkale', 'mustafacem'), 0.0)
(('1312734125778968582_3715', 'idilkale', 'omerkuyucu'), 0.6206896551724137)
(('1312366791054721024_3724', 'idilkale', 'msamil'), -0.10000000000000009)
(('1311653771349495810_3752', 'idilkale', 'burakbatman'), 0.6206896551724137)
(('1311616849398820864_3757', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1310649223705178112_3785', 'idilkale', 'dogru'), -0.13793103448275867)
(('1310154715129352192_3797', 'idilkale', 'gkantar'), 0.0)
(('1309857758452252672_3808', 'idilkale', 'alpercakar'), 1.0)
(('1309419621406003200_3830', 'idilkale', 'emirasal'), 0.6206896551724137)
(('1308795760587100160_3852', 'idilkale', 'oteryaki'), 0.0)
(('1331319173776084992_5', 'omersurhay', 'orkhan'), 0.6206896551724137)
(('1334145295488266241_28', 'omersurhay', 'oteryaki'), 0.6206896551724137)
(('1333678469016784896_38', 'omersurhay', 'alpercakar'), 0.6206896551724137)
(('1332300642283565057_62', 'omersurhay', 'rebahozkoc'), 0.6206896551724137)
(('1322105965081251840_235', 'omersurhay', 'burakbatman'), 0.7441860465116279)
(('1324760959789883392_197', 'omersurhay', 'umutonder'), 0.0)
