eagaev - NO ANNOTATION
raulaliyev - NO ANNOTATION
caltinuzengi - 0.812513528138528 - 64
emirasal - 0.6707692307692307 - 65
tolgaaydin - 0.5945855614973262 - 68
sananbabayev - 0.4800147613580454 - 67
burakbatman - 0.5442063492063492 - 60
tahabayindir - 0.6907563025210084 - 68
ozgurbeker - 0.7092039800995025 - 67
mustafacem - 0.6573105298457411 - 71
ramonberke - 0.6684188945382973 - 67
mehmetcandar - 0.5259417199715708 - 67
alikoray - 0.5824421732114041 - 65
alpercakar - 0.662893772893773 - 65
colakulas - 0.6636630036630038 - 65
fethidenker - 0.39103641456582644 - 68
dogru - 0.668430099312452 - 68
orkhan - 0.6297619047619049 - 66
idilkale - 0.6831632653061224 - 70
gkantar - 0.5486772486772489 - 63
kkaan - 0.6709590878604962 - 71
karakoc - 0.6116161616161616 - 66
zubeyir - 0.6009523809523811 - 65
omersurhay - 0.6745262933787524 - 61
omerkuyucu - 0.6221532091097309 - 69
goktugmandaci - 0.6080882352941178 - 68
msamil - 0.6434612651030561 - 67
umutonder - 0.5441628264208912 - 62
rebahozkoc - 0.5905117270788913 - 67
alisinal - 0.6814814814814815 - 63
suedaseker - 0.7152305366591077 - 63
onatt - 0.555988455988456 - 66
oteryaki - 0.5898139174258579 - 67
alperenyildiz - 0.7104477611940296 - 67
