(('1332583755727446016_970', 'idilkale', 'tolgaaydin'), 0.6666666666666667)
(('1329336106039595008_980', 'idilkale', 'ozgurbeker'), 1.0)
(('1325454278249549826_1010', 'idilkale', 'tahabayindir'), 0.6666666666666667)
(('1324723587715137537_1019', 'idilkale', 'mustafacem'), 0.6666666666666667)
(('1323300730132987904_1061', 'idilkale', 'zubeyir'), 1.0)
(('1323183062063210496_1069', 'idilkale', 'mustafacem'), 0.6666666666666667)
(('1322841944947609601_1095', 'idilkale', 'goktugmandaci'), 0.6666666666666667)
(('1322529204991307776_1115', 'idilkale', 'emirasal'), 1.0)
(('1318620498813661186_1135', 'idilkale', 'burakbatman'), 1.0)
(('1323578039213633538_1187', 'idilkale', 'dogru'), 0.5714285714285714)
(('1323186578395668480_1202', 'idilkale', 'omersurhay'), 0.33333333333333337)
(('1329314715105976325_1256', 'idilkale', 'goktugmandaci'), 1.0)
(('1324669104754585600_1275', 'idilkale', 'dogru'), 0.6666666666666667)
(('1323590748474781697_1285', 'idilkale', 'gkantar'), 0.0)
(('1323880249034199040_1169', 'idilkale', 'umutonder'), 0.6666666666666667)
(('1322957373884026892_1212', 'idilkale', 'omerkuyucu'), 0.5714285714285714)
(('1326433228337524736_1155', 'idilkale', 'onatt'), 1.0)
(('1323023523737194496_1298', 'idilkale', 'orkhan'), 0.6666666666666667)
(('1322271448468213760_1324', 'idilkale', 'fethidenker'), -0.2857142857142856)
(('1309131651750993926_1339', 'idilkale', 'gkantar'), 0.5714285714285714)
(('1332245968218189831_1355', 'idilkale', 'burakbatman'), 0.5714285714285714)
(('1329336106039595008_1374', 'idilkale', 'ramonberke'), -0.19999999999999996)
(('1329310007687581702_1383', 'idilkale', 'orkhan'), 0.5714285714285714)
(('1326825815275761666_1404', 'idilkale', 'alikoray'), 1.0)
(('1325407713988386817_1422', 'idilkale', 'omersurhay'), 0.5714285714285714)
(('1323637306293579776_1446', 'idilkale', 'tahabayindir'), 0.5714285714285714)
(('1323629175463358466_1449', 'idilkale', 'ramonberke'), 1.0)
(('1323189353867288577_1475', 'idilkale', 'alikoray'), 0.5714285714285714)
(('1322930145607507968_1484', 'idilkale', 'goktugmandaci'), 1.0)
(('1322428087280291842_1513', 'idilkale', 'alikoray'), -0.19999999999999996)
(('1322423093340573696_1521', 'idilkale', 'mustafacem'), 0.5714285714285714)
(('1315244110719188993_1550', 'idilkale', 'rebahozkoc'), 0.5714285714285714)
(('1311294722107899911_1555', 'idilkale', 'onatt'), 1.0)
(('1309131651750993926_1579', 'idilkale', 'burakbatman'), 0.5714285714285714)
(('1322793976970334211_1600', 'idilkale', 'karakoc'), 0.0)
(('1332627796087107585_1609', 'idilkale', 'umutonder'), -0.19999999999999996)
(('1326871113608073216_1632', 'idilkale', 'msamil'), 1.0)
(('1323208228159803393_1651', 'idilkale', 'orkhan'), 0.5714285714285714)
(('1322513651245473792_1662', 'idilkale', 'goktugmandaci'), 1.0)
(('1309393751291441152_1689', 'idilkale', 'zubeyir'), 1.0)
(('1333859895741992962_1694', 'idilkale', 'alpercakar'), 1.0)
(('1332245968218189831_1717', 'idilkale', 'caltinuzengi'), 1.0)
(('1331659791429734405_1736', 'idilkale', 'caltinuzengi'), 1.0)
(('1329682136459337730_1756', 'idilkale', 'burakbatman'), 1.0)
(('1329310007687581702_1771', 'idilkale', 'sananbabayev'), 0.5714285714285714)
(('1327503782620635136_1793', 'idilkale', 'ramonberke'), 0.5714285714285714)
(('1327156147351154688_1802', 'idilkale', 'alpercakar'), -0.19999999999999996)
(('1324672879305191424_1850', 'idilkale', 'msamil'), 1.0)
