eagaev - NO ANNOTATION
raulaliyev - 0.6294438896334731 - 20
caltinuzengi - 0.7549071360048325 - 21
emirasal - 0.8122470904417972 - 25
tolgaaydin - 0.7374110451566986 - 17
sananbabayev - 0.6107699092823328 - 14
burakbatman - 0.8466261260532059 - 26
tahabayindir - 0.7264385695127806 - 20
ozgurbeker - 0.7871311416350988 - 22
mustafacem - 0.7069925109018134 - 21
ramonberke - 0.7512351607320646 - 27
mehmetcandar - 0.8042071256581612 - 22
alikoray - 0.7596023920968162 - 20
alpercakar - 0.6893278569352931 - 23
colakulas - 0.8098546955983693 - 19
fethidenker - 0.7664756992548841 - 27
dogru - 0.7126140676282554 - 21
orkhan - 0.7836341533206584 - 22
idilkale - 0.7848264619237366 - 17
gkantar - 0.7250061390530207 - 20
kkaan - 0.784285321710883 - 24
karakoc - NO ANNOTATION
zubeyir - 0.778578550948541 - 22
omersurhay - 0.8011973590301856 - 20
omerkuyucu - 0.7776391429493811 - 23
goktugmandaci - 0.8139856964613089 - 25
msamil - 0.7991859441880181 - 20
umutonder - 0.7336717188311364 - 21
rebahozkoc - 0.78213031705433 - 19
alisinal - NO ANNOTATION
suedaseker - 0.8107406900475774 - 25
onatt - 0.8058700065399628 - 26
oteryaki - 0.7403483051382392 - 18
alperenyildiz - 0.7490489843234391 - 23
