(('cnnturk591', 'ramonberke', 'alperenyildiz'), 0.6733053808525507)
(('Hurriyet2351', 'ramonberke', 'emirasal'), 0.6008920779598566)
(('Hurriyet4134', 'ramonberke', 'zubeyir'), 0.5401566579634465)
(('cnnturk36', 'ramonberke', 'onatt'), 0.6639235716988271)
(('cnnturk36', 'ramonberke', 'umutonder'), 0.5701357466063348)
(('cnnturk36', 'ramonberke', 'fethidenker'), 0.6680563827675203)
(('cnnturk36', 'onatt', 'umutonder'), 0.8688997616359303)
(('cnnturk36', 'onatt', 'fethidenker'), 0.8751045775068722)
(('cnnturk36', 'umutonder', 'fethidenker'), 0.7194630872483221)
(('Hurriyet177', 'ramonberke', 'tahabayindir'), 0.40621865596790363)
(('Hurriyet2994', 'ramonberke', 'alikoray'), 0.7045962491497424)
(('Hurriyet2826', 'ramonberke', 'alpercakar'), 0.3972705781216419)
(('Hurriyet2343', 'ramonberke', 'onatt'), 0.8596764763204053)
(('Hurriyet4666', 'ramonberke', 'onatt'), 0.8824706176544136)
(('Hurriyet4260', 'ramonberke', 'ozgurbeker'), 0.8728927345964493)
(('Hurriyet4663', 'ramonberke', 'sananbabayev'), 0.6346392891671655)
(('Hurriyet1681', 'ramonberke', 'burakbatman'), 0.7155712495728443)
(('Hurriyet2121', 'ramonberke', 'rebahozkoc'), 0.8767871594281089)
(('Hurriyet4415', 'ramonberke', 'mehmetcandar'), 0.8145346925353503)
(('Hurriyet4415', 'ramonberke', 'tolgaaydin'), 0.7558565899368507)
(('Hurriyet4415', 'ramonberke', 'kkaan'), 0.8588745551601423)
(('Hurriyet4415', 'mehmetcandar', 'tolgaaydin'), 0.7212568931432733)
(('Hurriyet4415', 'mehmetcandar', 'kkaan'), 0.7303105310531053)
(('Hurriyet4415', 'tolgaaydin', 'kkaan'), 0.6914017717561229)
(('Hurriyet3467', 'ramonberke', 'goktugmandaci'), 0.8832116788321168)
(('Hurriyet3467', 'ramonberke', 'msamil'), 0.8832116788321168)
(('Hurriyet3467', 'ramonberke', 'fethidenker'), 0.8896551724137931)
(('Hurriyet3467', 'goktugmandaci', 'msamil'), 1.0)
(('Hurriyet3467', 'goktugmandaci', 'fethidenker'), 0.8533791523482245)
(('Hurriyet3467', 'msamil', 'fethidenker'), 0.8533791523482245)
(('Hurriyet3903', 'ramonberke', 'suedaseker'), 0.8915478615071283)
(('Hurriyet3903', 'ramonberke', 'omerkuyucu'), 0.8915478615071283)
(('Hurriyet3903', 'suedaseker', 'omerkuyucu'), 1.0)
(('Hurriyet12', 'ramonberke', 'suedaseker'), 0.8553045859000684)
(('Hurriyet1808', 'ramonberke', 'ozgurbeker'), 1.0)
(('cnnturk484', 'ramonberke', 'onatt'), 0.7260834014717907)
(('Hurriyet2024', 'ramonberke', 'orkhan'), 0.7669284338420507)
(('Hurriyet1347', 'rebahozkoc', 'omerkuyucu'), 0.6741242272593464)
(('Hurriyet2006', 'rebahozkoc', 'omerkuyucu'), 0.8505591324974584)
(('Hurriyet2695', 'rebahozkoc', 'emirasal'), 0.8374229160377765)
(('Hurriyet681', 'rebahozkoc', 'burakbatman'), 0.9378521977137337)
(('cnnturk146', 'rebahozkoc', 'goktugmandaci'), 0.9009907755380936)
(('Hurriyet3122', 'rebahozkoc', 'mustafacem'), 0.8346938775510204)
(('Hurriyet3497', 'rebahozkoc', 'alikoray'), 0.8245945945945946)
(('Hurriyet52', 'rebahozkoc', 'tahabayindir'), 0.735313273414094)
(('Hurriyet2965', 'rebahozkoc', 'tahabayindir'), 0.7556189389617798)
(('cnnturk1132', 'rebahozkoc', 'colakulas'), 0.8427370948379351)
(('Hurriyet3073', 'rebahozkoc', 'gkantar'), 0.654510556621881)
(('Hurriyet4305', 'rebahozkoc', 'emirasal'), 0.8149892933618844)
(('Hurriyet4305', 'rebahozkoc', 'zubeyir'), 0.6860008722197994)
(('Hurriyet4305', 'rebahozkoc', 'dogru'), 0.674342105263158)
(('Hurriyet4305', 'emirasal', 'zubeyir'), 0.8227474150664698)
(('Hurriyet4305', 'emirasal', 'dogru'), 0.8024691358024691)
(('Hurriyet4305', 'zubeyir', 'dogru'), 0.8984485190409026)
(('Hurriyet3364', 'rebahozkoc', 'msamil'), 0.9509639564124057)
(('Hurriyet4263', 'rebahozkoc', 'mehmetcandar'), 0.768910478834143)
(('Hurriyet2341', 'rebahozkoc', 'dogru'), 0.6028771867507327)
(('cnnturk745', 'rebahozkoc', 'dogru'), 0.6371873867343241)
(('Hurriyet798', 'suedaseker', 'alpercakar'), 0.6887686062246279)
(('Hurriyet541', 'suedaseker', 'colakulas'), 1.0)
(('Hurriyet4752', 'suedaseker', 'dogru'), 0.7224518888096936)
(('Hurriyet179', 'suedaseker', 'colakulas'), 0.8107323327551097)
(('cnnturk724', 'suedaseker', 'alpercakar'), 0.37033270376289407)
(('Hurriyet1088', 'suedaseker', 'msamil'), 0.7202368365404948)
(('Hurriyet1759', 'suedaseker', 'mustafacem'), 0.47660139395950873)
(('Hurriyet1409', 'suedaseker', 'emirasal'), 0.8700729061703515)
(('cnnturk470', 'suedaseker', 'tahabayindir'), 0.8832866982350409)
(('Hurriyet195', 'suedaseker', 'onatt'), 0.9064458370635631)
(('Hurriyet195', 'suedaseker', 'caltinuzengi'), 0.8831226932110502)
(('Hurriyet195', 'suedaseker', 'omerkuyucu'), 0.9106510321240991)
(('Hurriyet195', 'onatt', 'caltinuzengi'), 0.8681526653348755)
(('Hurriyet195', 'onatt', 'omerkuyucu'), 0.8221579305650102)
(('Hurriyet195', 'caltinuzengi', 'omerkuyucu'), 0.822359474161378)
(('Hurriyet202', 'suedaseker', 'alperenyildiz'), 0.7220756376429199)
(('cnnturk449', 'suedaseker', 'mehmetcandar'), 0.9538836925579504)
(('Hurriyet841', 'suedaseker', 'emirasal'), 0.8218471636193155)
(('Hurriyet2202', 'suedaseker', 'tahabayindir'), 0.7971689327621531)
(('Hurriyet2202', 'suedaseker', 'colakulas'), 0.8306405626306785)
(('Hurriyet2202', 'suedaseker', 'fethidenker'), 0.8242343541944075)
(('Hurriyet2202', 'tahabayindir', 'colakulas'), 0.96557719054242)
(('Hurriyet2202', 'tahabayindir', 'fethidenker'), 0.6397241907680521)
(('Hurriyet2202', 'colakulas', 'fethidenker'), 0.6698057680988817)
(('Hurriyet4272', 'suedaseker', 'ozgurbeker'), 0.7268037954530981)
(('Hurriyet3804', 'suedaseker', 'mehmetcandar'), 0.9406961753330468)
(('Hurriyet3804', 'suedaseker', 'goktugmandaci'), 0.9297633329697895)
(('Hurriyet3804', 'suedaseker', 'mustafacem'), 0.7318482277624525)
(('Hurriyet3804', 'mehmetcandar', 'goktugmandaci'), 0.9399804284005654)
(('Hurriyet3804', 'mehmetcandar', 'mustafacem'), 0.7040419239350386)
(('Hurriyet3804', 'goktugmandaci', 'mustafacem'), 0.7386226127216289)
(('Hurriyet592', 'tahabayindir', 'alpercakar'), 0.5872201492537312)
(('Hurriyet2862', 'tahabayindir', 'gkantar'), 0.7896213183730715)
(('cnnturk794', 'tahabayindir', 'onatt'), 0.5883260650788327)
(('cnnturk794', 'tahabayindir', 'kkaan'), 0.5650386333026158)
(('cnnturk794', 'tahabayindir', 'raulaliyev'), 0.29774700916985486)
(('cnnturk794', 'onatt', 'kkaan'), 0.7997029492892)
(('cnnturk794', 'onatt', 'raulaliyev'), 0.5266804424456059)
(('cnnturk794', 'kkaan', 'raulaliyev'), 0.4739523627563368)
(('Hurriyet1457', 'tahabayindir', 'raulaliyev'), 0.6755845797345692)
(('cnnturk1233', 'tahabayindir', 'emirasal'), 0.8905075552111584)
(('Hurriyet827', 'tahabayindir', 'fethidenker'), 0.8336721493254482)
(('cnnturk516', 'tahabayindir', 'fethidenker'), 0.679739322704527)
(('Hurriyet345', 'tahabayindir', 'burakbatman'), 0.9526274915868496)
(('Hurriyet2452', 'tahabayindir', 'sananbabayev'), 0.6884472049689441)
(('Hurriyet653', 'tahabayindir', 'emirasal'), 0.9879795129089579)
(('Hurriyet2542', 'tahabayindir', 'umutonder'), 0.8093525179856116)
(('Hurriyet670', 'emirasal', 'oteryaki'), 0.7022682228584012)
(('Hurriyet3174', 'emirasal', 'zubeyir'), 0.6273003802281368)
(('cnnturk1175', 'emirasal', 'goktugmandaci'), 0.9235155054929773)
(('Hurriyet4598', 'emirasal', 'umutonder'), 0.6743203268065925)
(('Hurriyet2034', 'emirasal', 'omersurhay'), 0.8870908614820634)
(('Hurriyet1805', 'emirasal', 'ozgurbeker'), 0.8344827586206897)
(('cnnturk845', 'emirasal', 'omersurhay'), 0.9325800018991549)
(('Hurriyet3759', 'emirasal', 'orkhan'), 0.539000718907261)
(('cnnturk910', 'emirasal', 'burakbatman'), 0.6429978056602712)
(('Hurriyet1810', 'emirasal', 'onatt'), 0.9631029117581684)
(('Hurriyet3596', 'emirasal', 'kkaan'), 0.6137744767049291)
(('cnnturk135', 'emirasal', 'orkhan'), 0.9037631091918569)
(('cnnturk135', 'emirasal', 'alpercakar'), 0.8614564831261101)
(('cnnturk135', 'emirasal', 'burakbatman'), 1.0)
(('cnnturk135', 'orkhan', 'alpercakar'), 0.8614564831261101)
(('cnnturk135', 'orkhan', 'burakbatman'), 0.9037631091918569)
(('cnnturk135', 'alpercakar', 'burakbatman'), 0.8614564831261101)
(('cnnturk181', 'emirasal', 'zubeyir'), 0.91189111747851)
(('cnnturk181', 'emirasal', 'dogru'), 0.8397046046915726)
(('cnnturk181', 'zubeyir', 'dogru'), 0.8201754385964912)
(('Hurriyet4163', 'zubeyir', 'sananbabayev'), 0.7658908664189321)
(('Hurriyet4595', 'zubeyir', 'ozgurbeker'), 0.687488517361749)
(('Hurriyet3789', 'zubeyir', 'idilkale'), 0.7864003606227677)
(('Hurriyet1207', 'zubeyir', 'kkaan'), 0.8580383836435529)
(('Hurriyet1207', 'zubeyir', 'omerkuyucu'), 0.7584879243962198)
(('Hurriyet1207', 'kkaan', 'omerkuyucu'), 0.8480956923754311)
(('Hurriyet3257', 'zubeyir', 'caltinuzengi'), 0.6163215590742996)
(('Hurriyet584', 'zubeyir', 'omersurhay'), 0.7900626678603402)
(('Hurriyet807', 'zubeyir', 'alperenyildiz'), 0.8575955768323107)
(('Hurriyet3353', 'zubeyir', 'omerkuyucu'), 0.6650573325286663)
(('Hurriyet4506', 'zubeyir', 'mehmetcandar'), 0.939434087252768)
