(('cnnturk572', 'suedaseker', 'dogru'), 0.8595183486238532)
(('Hurriyet2830', 'suedaseker', 'alikoray'), 0.7698598130841121)
(('Hurriyet2737', 'suedaseker', 'idilkale'), 0.851063829787234)
(('Hurriyet1040', 'suedaseker', 'umutonder'), 0.8570119156736938)
(('cnnturk108', 'suedaseker', 'mustafacem'), 0.9091403699673558)
(('Hurriyet1907', 'suedaseker', 'kkaan'), 0.9154960252640749)
(('Hurriyet499', 'suedaseker', 'kkaan'), 1.0)
(('Hurriyet312', 'suedaseker', 'msamil'), 0.9191402251791198)
(('Hurriyet3092', 'suedaseker', 'ramonberke'), 0.8766575724890553)
(('cnnturk733', 'suedaseker', 'mehmetcandar'), 0.6960741067490075)
(('Hurriyet1343', 'suedaseker', 'burakbatman'), 0.7297576070139247)
(('Hurriyet4533', 'suedaseker', 'gkantar'), 0.9032967032967033)
(('Hurriyet855', 'suedaseker', 'mustafacem'), 0.7714147051686484)
(('Hurriyet3365', 'suedaseker', 'eagaev'), 0.4108108108108107)
(('Hurriyet1565', 'suedaseker', 'tahabayindir'), 0.6315408030149297)
(('cnnturk522', 'suedaseker', 'sananbabayev'), 0.909688013136289)
(('Hurriyet1263', 'suedaseker', 'msamil'), 0.8306410903584048)
(('cnnturk892', 'suedaseker', 'alpercakar'), 0.8662353558314391)
(('cnnturk217', 'suedaseker', 'mehmetcandar'), 0.867441734122888)
(('Hurriyet589', 'suedaseker', 'omerkuyucu'), 0.8046663049376017)
(('Hurriyet3059', 'suedaseker', 'kkaan'), 0.8651841556636553)
(('Hurriyet348', 'suedaseker', 'idilkale'), 0.6497656582871751)
(('cnnturk1197', 'suedaseker', 'rebahozkoc'), 0.9265684210526316)
(('Hurriyet1625', 'suedaseker', 'tahabayindir'), 0.8718166383701189)
(('cnnturk82', 'suedaseker', 'dogru'), 0.5911078717201166)
(('Hurriyet1947', 'suedaseker', 'goktugmandaci'), 0.890568004168838)
(('Hurriyet2805', 'suedaseker', 'oteryaki'), 0.9609967497291441)
(('cnnturk421', 'suedaseker', 'emirasal'), 0.9435273675065161)
(('Hurriyet1164', 'suedaseker', 'tahabayindir'), 0.5873252008330854)
(('Hurriyet1674', 'suedaseker', 'oteryaki'), 0.7568611082124596)
(('Hurriyet189', 'suedaseker', 'omersurhay'), 0.676923076923077)
(('Hurriyet1228', 'suedaseker', 'rebahozkoc'), 0.9481803797468354)
(('Hurriyet2253', 'suedaseker', 'omersurhay'), 0.8077148551999063)
(('Hurriyet2498', 'suedaseker', 'zubeyir'), 0.8527443105756359)
(('Hurriyet4654', 'suedaseker', 'alpercakar'), 0.9374100719424461)
(('Hurriyet2671', 'suedaseker', 'tolgaaydin'), 0.8934817619303252)
(('Hurriyet1576', 'suedaseker', 'omersurhay'), 0.8109913176223643)
(('Hurriyet1969', 'gkantar', 'goktugmandaci'), 0.8692660550458715)
(('Hurriyet3290', 'gkantar', 'caltinuzengi'), 0.7348074317785949)
(('Hurriyet2210', 'gkantar', 'ramonberke'), 0.5465393794749404)
(('Hurriyet1204', 'gkantar', 'karakoc'), 0.7275943396226414)
(('Hurriyet1605', 'gkantar', 'msamil'), 0.8725123628030395)
(('Hurriyet1356', 'gkantar', 'karakoc'), 0.8221494817239499)
(('Hurriyet3853', 'gkantar', 'msamil'), 0.7020043067748882)
(('Hurriyet617', 'gkantar', 'goktugmandaci'), 0.7287942454241151)
(('cnnturk723', 'gkantar', 'mustafacem'), 0.8627994011976048)
(('Hurriyet1686', 'gkantar', 'alikoray'), 0.8910881529400405)
(('Hurriyet181', 'gkantar', 'msamil'), 0.7034377094704587)
(('Hurriyet3124', 'gkantar', 'umutonder'), 0.8511224891689642)
(('cnnturk866', 'gkantar', 'orkhan'), 0.9526986052152819)
(('Hurriyet1660', 'gkantar', 'onatt'), 0.7351135227759531)
(('Hurriyet335', 'gkantar', 'goktugmandaci'), 0.7828450218745857)
(('cnnturk195', 'gkantar', 'onatt'), 0.6055045871559632)
(('Hurriyet4002', 'gkantar', 'tahabayindir'), 0.5535128036769534)
(('cnnturk983', 'gkantar', 'umutonder'), 0.7881934144170869)
(('Hurriyet1499', 'gkantar', 'mustafacem'), 0.8586715122148193)
(('cnnturk879', 'gkantar', 'dogru'), 0.8405197873597166)
(('Hurriyet4252', 'gkantar', 'karakoc'), 0.6620844982913948)
(('Hurriyet3109', 'gkantar', 'idilkale'), 0.34575863576738086)
(('Hurriyet2188', 'gkantar', 'umutonder'), 0.8552412645590682)
(('Hurriyet1117', 'gkantar', 'kkaan'), 0.5193798449612403)
(('Hurriyet2160', 'gkantar', 'burakbatman'), 0.6545354287289771)
(('Hurriyet2507', 'gkantar', 'kkaan'), 0.6401869158878504)
(('Hurriyet4327', 'gkantar', 'idilkale'), 0.7752890501020178)
(('Hurriyet3390', 'gkantar', 'colakulas'), 0.6966437177280551)
