username,average_kappa,annotation_count
eagaev,0.3599297013246834,20
raulaliyev,NO ANNOTATION,NO ANNOTATION
caltinuzengi,0.7819884062709668,36
emirasal,0.8047031462454932,31
tolgaaydin,0.7838037628537985,35
sananbabayev,0.503984280978197,35
burakbatman,0.773199281458716,35
tahabayindir,0.7378498756174475,36
ozgurbeker,0.8168844637464235,34
mustafacem,0.7458068352168462,32
ramonberke,0.6882035438154736,28
mehmetcandar,0.8165666146218491,33
alikoray,0.7993972889442912,9
alpercakar,0.7792511412903234,35
colakulas,0.7966769863231544,35
fethidenker,0.7472280658751408,36
dogru,0.8070371717492028,35
orkhan,0.6975755883857957,32
idilkale,0.7706394791720814,31
gkantar,0.7855742112636901,35
kkaan,0.8016522778903495,33
karakoc,0.7379219416816339,11
zubeyir,0.7715970159706008,37
omersurhay,0.801898975079545,35
omerkuyucu,0.7922886388170395,35
goktugmandaci,0.8253434916176488,34
msamil,0.7840061131753291,37
umutonder,0.6650403181146352,34
rebahozkoc,0.8148918781017652,37
alisinal,0.7636631422645253,36
suedaseker,0.8303059354412717,20
onatt,0.804481249187108,36
oteryaki,0.7617003283147361,36
alperenyildiz,0.7517282006440558,26
