((1325850639688036400, 'karakoc', 'dogru'), 0.861376673040153)
((1332612696441823200, 'karakoc', 'mehmetcandar'), 0.6097181861188079)
((1328746196857475000, 'karakoc', 'orkhan'), 0.6305498541644161)
((1329396504231112700, 'karakoc', 'tolgaaydin'), 0.588231262209123)
((1324300424929636400, 'karakoc', 'gkantar'), 0.8643956763838847)
((1325531033635233800, 'karakoc', 'burakbatman'), 0.884828349944629)
((1333810590435971000, 'karakoc', 'rebahozkoc'), 0.7485970819304153)
((1325032750143967200, 'karakoc', 'dogru'), 0.8523969722455845)
((1326480489989988400, 'karakoc', 'mehmetcandar'), 0.49656412403635386)
((1324655263295565800, 'karakoc', 'orkhan'), 0.7951635846372689)
((1326813232833552400, 'karakoc', 'dogru'), 0.7853195937873357)
((1326591773267783700, 'alisinal', 'fethidenker'), 0.7924813580289337)
((1326988134958055400, 'alisinal', 'eagaev'), 0.4519841951554716)
((1324314827163160600, 'alisinal', 'colakulas'), 0.7836655323286339)
((1332941110432260000, 'alisinal', 'tahabayindir'), 0.672643526895871)
((1327621055402238000, 'alisinal', 'orkhan'), 0.5061776870320926)
((1327258667477995500, 'alisinal', 'burakbatman'), 0.7512993262752647)
((1335866637459759000, 'alisinal', 'alperenyildiz'), 0.7662927013740073)
((1328705819442114600, 'alisinal', 'oteryaki'), 1.0)
((1336676977126858800, 'alisinal', 'orkhan'), 0.5517525952308562)
((1331550698610241500, 'alisinal', 'goktugmandaci'), 0.8899176954732511)
((1331858979979333600, 'alisinal', 'alikoray'), 0.7529005957980558)
((1336415255644295200, 'alisinal', 'sananbabayev'), 0.3433711976823969)
((1333009058119495700, 'alisinal', 'umutonder'), 0.6453931605314747)
((1330405655514112000, 'alisinal', 'tolgaaydin'), 0.8074423139421514)
((1326476010485809200, 'alisinal', 'umutonder'), 0.405489972976817)
((1327534232978251800, 'alisinal', 'ozgurbeker'), 0.9261083743842364)
((1326437003257237500, 'alisinal', 'msamil'), 0.704585229261463)
((1329689685988319200, 'alisinal', 'alpercakar'), 0.8791208791208791)
((1335875445632413700, 'alisinal', 'ramonberke'), 0.906766116142781)
((1326485648946159600, 'alisinal', 'burakbatman'), 0.7534156958458094)
((1334600796831363000, 'alisinal', 'zubeyir'), 0.8635588402501421)
((1336012631702982700, 'alisinal', 'alpercakar'), 0.8408222666909223)
((1331146787780927500, 'alisinal', 'oteryaki'), 0.7310569196118233)
((1329711083372875800, 'alisinal', 'gkantar'), 0.9269706336939721)
((1336197568095719400, 'alisinal', 'oteryaki'), 0.8731015862301721)
((1334807159045910500, 'alisinal', 'msamil'), 0.8768976638086997)
((1331904278546399200, 'alisinal', 'ozgurbeker'), 0.847622816998961)
((1336570022039343000, 'alisinal', 'zubeyir'), 0.8476038338658147)
((1329765183502205000, 'alisinal', 'burakbatman'), 0.7953552540813981)
((1324977386849497000, 'alisinal', 'colakulas'), 0.854222310975762)
((1329427961498509300, 'alisinal', 'burakbatman'), 0.7022233414879839)
((1325719777231429600, 'alisinal', 'fethidenker'), 0.8776284900854103)
((1328777424931328000, 'alisinal', 'umutonder'), 0.5550266565118049)
((1333161312034013200, 'alisinal', 'burakbatman'), 0.8874864767399928)
((1333698602217087000, 'alisinal', 'alpercakar'), 0.8743930757863627)
((1326518792420282400, 'alisinal', 'alpercakar'), 0.8470948012232415)
((1334482520524673000, 'alikoray', 'umutonder'), 0.6636926889714994)
((1336673202647523300, 'alikoray', 'omerkuyucu'), 0.887913466060511)
((1325778917186269200, 'alikoray', 'omersurhay'), 0.9775784753363229)
((1334440993790304300, 'alikoray', 'orkhan'), 0.9025392631733451)
((1333298465342832600, 'alikoray', 'alperenyildiz'), 0.717426508934208)
((1326452102659498000, 'alikoray', 'dogru'), 0.8786969154688372)
((1326614871241351200, 'alikoray', 'ramonberke'), 0.6191527528632538)
((1325541100078067700, 'alikoray', 'tolgaaydin'), 0.7946749338925868)
((1328231326592405500, 'ozgurbeker', 'msamil'), 0.8791941961393963)
((1336382536856072200, 'ozgurbeker', 'burakbatman'), 0.7646784715750233)
((1326780669050179600, 'ozgurbeker', 'omersurhay'), 0.8065120227721041)
((1336072797710413800, 'ozgurbeker', 'oteryaki'), 0.8984996938150643)
((1331231092758737000, 'ozgurbeker', 'alpercakar'), 0.7097882718102206)
((1328249469427724300, 'ozgurbeker', 'idilkale'), 0.8759560383058037)
((1329790350098108400, 'ozgurbeker', 'mehmetcandar'), 0.6883451384417256)
((1327713917271945200, 'ozgurbeker', 'burakbatman'), 0.706)
((1329786577975795700, 'ozgurbeker', 'omerkuyucu'), 0.8643728222996516)
((1336651811558621200, 'ozgurbeker', 'oteryaki'), 0.7531650876163327)
((1336590155105243100, 'ozgurbeker', 'emirasal'), 0.5346021415868931)
((1327655029172555800, 'ozgurbeker', 'umutonder'), 0.684872198555288)
((1327527941685866500, 'ozgurbeker', 'caltinuzengi'), 0.8788249694002448)
((1327259925836337200, 'ozgurbeker', 'idilkale'), 0.7776560788608982)
((1335232458795585500, 'ozgurbeker', 'fethidenker'), 0.4453494686215189)
((1332322031191244800, 'ozgurbeker', 'omerkuyucu'), 0.9160727940051996)
((1326162116760522800, 'ozgurbeker', 'zubeyir'), 0.8421297182059202)
((1328387354713682000, 'ozgurbeker', 'caltinuzengi'), 0.8513247714913803)
((1332318256535842800, 'ozgurbeker', 'mehmetcandar'), 0.9623769043009848)
((1330184001202643000, 'ozgurbeker', 'omersurhay'), 0.9150805270863835)
((1336010082568441900, 'ozgurbeker', 'alperenyildiz'), 0.8563084112149533)
((1331282683037675500, 'ozgurbeker', 'rebahozkoc'), 0.8684751335799424)
((1326414044203507700, 'ozgurbeker', 'fethidenker'), 0.6221985799199758)
((1329894787877544000, 'ozgurbeker', 'fethidenker'), 0.8417694598043386)
((1326818265415491600, 'ozgurbeker', 'omersurhay'), 0.9073053892215569)
((1327154544430682000, 'ozgurbeker', 'idilkale'), 0.8549000951474786)
((1335323055577387000, 'ozgurbeker', 'gkantar'), 0.9152788750197504)
((1330418236546896000, 'ozgurbeker', 'goktugmandaci'), 0.9714808347883928)
((1327569994532655000, 'ozgurbeker', 'kkaan'), 0.7820414428242517)
((1332093610255405000, 'ozgurbeker', 'burakbatman'), 0.8644743398106627)
((1332054015207645200, 'ozgurbeker', 'zubeyir'), 0.8534119629317607)
((1332311964756873200, 'ozgurbeker', 'dogru'), 0.9078947368421053)
((1331914344771227600, 'msamil', 'tolgaaydin'), 0.7047833789660171)
((1325844896239014000, 'msamil', 'oteryaki'), 0.7976977433325736)
((1332641637424500700, 'msamil', 'orkhan'), 0.8039055076832345)
((1327340165451411500, 'msamil', 'mehmetcandar'), 0.8791112835936742)
((1332976342858559500, 'msamil', 'gkantar'), 0.6562171379849367)
((1328286493736128500, 'msamil', 'tahabayindir'), 0.5701210008784607)
((1324709370354143200, 'msamil', 'omerkuyucu'), 0.7517899761336515)
((1334468676322427000, 'msamil', 'sananbabayev'), 0.5951878328455597)
((1325721035946254300, 'msamil', 'alpercakar'), 0.7913169494595738)
((1324791158552354800, 'msamil', 'omersurhay'), 0.6575300653195776)
((1328303780681670700, 'msamil', 'suedaseker'), 0.8676844783715013)
((1330861155456217000, 'msamil', 'umutonder'), 0.733819463136516)
((1334201918185296000, 'msamil', 'omersurhay'), 0.7451265638638347)
((1334473709034360800, 'msamil', 'onatt'), 0.8390885600187925)
((1328327382118375400, 'msamil', 'omerkuyucu'), 0.7390675420051185)
((1330073475151659000, 'msamil', 'omersurhay'), 0.8386100893326327)
((1333019124818092000, 'msamil', 'idilkale'), 0.74373576309795)
((1335203118087348200, 'msamil', 'tolgaaydin'), 0.7685954859710005)
((1334079864022954000, 'msamil', 'ramonberke'), 0.897156213478769)
((1329363788861042700, 'msamil', 'fethidenker'), 0.7213358859817061)
((1332615213158445000, 'msamil', 'fethidenker'), 0.7157080309482398)
((1335327837096714200, 'msamil', 'rebahozkoc'), 0.9352386479036704)
((1330259691989962800, 'msamil', 'goktugmandaci'), 0.9073120494335736)
((1333785475660673000, 'msamil', 'gkantar'), 0.6885171275748265)
((1333716218092671000, 'msamil', 'alperenyildiz'), 0.8259558236494279)
((1334751791368454100, 'msamil', 'caltinuzengi'), 0.6438376603998807)
((1326299269003927600, 'msamil', 'mehmetcandar'), 1.0)
((1331290232688263200, 'msamil', 'onatt'), 0.9049700874367235)
((1324438836802445300, 'msamil', 'colakulas'), 0.8373115577889447)
((1332250308802605000, 'msamil', 'fethidenker'), 0.7999399759903962)
((1326803165853921300, 'msamil', 'tahabayindir'), 0.7443707587908699)
((1325828759031849000, 'msamil', 'caltinuzengi'), 0.9007481769106923)
((1327335423287337000, 'msamil', 'alperenyildiz'), 0.8247292164861443)
((1325916510817292300, 'msamil', 'caltinuzengi'), 0.7170290635091496)
((1325056507575234600, 'suedaseker', 'omerkuyucu'), 0.5684556407447974)
((1329407828969234400, 'suedaseker', 'mehmetcandar'), 0.8932676518883416)
((1334414754207723500, 'suedaseker', 'sananbabayev'), 0.6198641670408622)
((1326043687248334800, 'suedaseker', 'mustafacem'), 0.8137036086037647)
((1334895236670058500, 'suedaseker', 'rebahozkoc'), 0.8865295288652952)
((1325070499114750000, 'suedaseker', 'goktugmandaci'), 0.8883116883116883)
((1328065235001991200, 'suedaseker', 'colakulas'), 0.8601102161933023)
((1327194494433947600, 'suedaseker', 'fethidenker'), 0.8373951708223111)
((1327670128805220400, 'suedaseker', 'dogru'), 0.7838129982434806)
((1334033662971613200, 'suedaseker', 'mehmetcandar'), 0.7984403119376124)
((1330199294129840000, 'suedaseker', 'onatt'), 0.8988744588744588)
((1331923154613252000, 'suedaseker', 'ramonberke'), 0.9014007212669211)
((1326506209659281400, 'suedaseker', 'idilkale'), 0.826865671641791)
((1335307956103987200, 'suedaseker', 'tahabayindir'), 0.9373845585519025)
((1325746201279438800, 'suedaseker', 'umutonder'), 0.5864570737605803)
((1336318364248117200, 'suedaseker', 'burakbatman'), 0.9533873197708869)
((1334580666147557400, 'suedaseker', 'burakbatman'), 0.8726581712497206)
((1332237725789954000, 'suedaseker', 'onatt'), 0.93442771220549)
((1336065447893020700, 'suedaseker', 'kkaan'), 0.8770875604807242)
((1336324656991776800, 'idilkale', 'orkhan'), 0.5748855968354921)
((1335511799295303700, 'idilkale', 'omerkuyucu'), 0.7071696288236005)
((1330835989950939100, 'idilkale', 'gkantar'), 0.9248827179176755)
((1335683205169549300, 'idilkale', 'oteryaki'), 0.6976710545349343)
((1325441694893019100, 'idilkale', 'sananbabayev'), 0.3344821439182365)
((1326189120255832000, 'idilkale', 'goktugmandaci'), 0.8725407469911622)
((1325733618535211000, 'idilkale', 'fethidenker'), 0.8708858543417367)
((1332316998160806000, 'idilkale', 'omerkuyucu'), 0.925763349573103)
((1327260221857820700, 'idilkale', 'oteryaki'), 0.6352277164459905)
((1335923260559519700, 'idilkale', 'omersurhay'), 0.9605769230769231)
((1325098182074790000, 'idilkale', 'kkaan'), 0.7131617767579086)
((1329751342542413800, 'idilkale', 'onatt'), 0.9178456314740546)
((1333483433864073200, 'idilkale', 'eagaev'), 0.32867132867132864)
((1325875809119326200, 'idilkale', 'rebahozkoc'), 0.7627448594719552)
((1333308531278180400, 'idilkale', 'mustafacem'), 0.812760055478502)
((1325163612709691400, 'idilkale', 'tolgaaydin'), 0.8012706283412102)
((1331234867686879200, 'idilkale', 'zubeyir'), 0.7644218126180401)
((1327500833890717700, 'idilkale', 'ramonberke'), 0.621610400394426)
((1326575437334634500, 'idilkale', 'colakulas'), 0.825465539751254)
((1335563389674823700, 'idilkale', 'tahabayindir'), 0.748898678414097)
((1332806476881125400, 'idilkale', 'alperenyildiz'), 0.8704663212435233)
((1333481106025435100, 'idilkale', 'kkaan'), 0.8259737184799337)
((1329380146659295200, 'idilkale', 'kkaan'), 0.914373761831389)
((1330776849518092300, 'idilkale', 'tahabayindir'), 0.7293754818812644)
((1326857277714804700, 'idilkale', 'tahabayindir'), 0.9042889390519188)
((1327209878906081300, 'idilkale', 'omerkuyucu'), 0.7652955409609402)
((1334765632815063000, 'emirasal', 'colakulas'), 0.893065011490303)
((1324614997855461400, 'emirasal', 'omersurhay'), 0.887667500871163)
((1336364798045544400, 'emirasal', 'omersurhay'), 0.7380749574105621)
((1327924303426441200, 'emirasal', 'tolgaaydin'), 0.9608636977058029)
((1326838398099853300, 'emirasal', 'caltinuzengi'), 0.7800787516406592)
((1328286691451306000, 'emirasal', 'mehmetcandar'), 0.8730956079183053)
((1331193344358170600, 'emirasal', 'kkaan'), 0.8543145311916325)
((1336035248434335700, 'emirasal', 'dogru'), 0.7699483742414637)
((1327544299349635000, 'emirasal', 'umutonder'), 0.7601214864903585)
((1334763116240879600, 'emirasal', 'tolgaaydin'), 0.8949343339587242)
((1331582155974193200, 'emirasal', 'alpercakar'), 0.7350757971772086)
((1332577464296550400, 'emirasal', 'rebahozkoc'), 0.9486283417787873)
((1331935736145223700, 'emirasal', 'rebahozkoc'), 0.8818243969137611)
((1325082207963263000, 'emirasal', 'colakulas'), 0.7648631077078668)
((1334819990843756500, 'emirasal', 'burakbatman'), 0.7994131209390065)
((1330062140263297000, 'emirasal', 'caltinuzengi'), 0.6185170655158886)
((1328622875889311700, 'emirasal', 'goktugmandaci'), 0.9515435717076983)
((1325908520978411500, 'emirasal', 'mustafacem'), 0.36309788242262697)
((1332810465911730200, 'emirasal', 'colakulas'), 0.8852459016393442)
((1332231434275262500, 'emirasal', 'rebahozkoc'), 0.8862011258177392)
((1327300191779770400, 'emirasal', 'tahabayindir'), 0.7907628564465026)
((1330873746266079200, 'emirasal', 'kkaan'), 0.8244178728760226)
((1326999040391835600, 'emirasal', 'rebahozkoc'), 0.7619626608095388)
((1332664286632579000, 'emirasal', 'zubeyir'), 0.89272030651341)
